case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N100,1000000.0,3184.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,3146.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,3129.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1277.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1134.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1138.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1868.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1824.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1812.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1224.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1179.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1181.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1829.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1811.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1806.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,2899.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,2809.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
